,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2020 Jeep Compass 1.4 Longitude Option,2020,Petrol,"15,252 Kms",1368 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 21.65 Lakh
1,2018 Hyundai Creta 1.6 SX,2018,Petrol,"31,129 Kms",1591 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.71 Lakh
2,2018 Hyundai Grand i10 1.2 Kappa Asta,2018,Petrol,"14,889 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,None
3,2016 Hyundai Grand i10 Sportz,2016,Petrol,"45,645 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.14 Lakh
4,2019 Maruti Baleno 1.2 Zeta,2019,Petrol,"15,600 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.84 Lakh
5,2018 Hyundai i20 1.2 Spotz,2018,Petrol,"34,683 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.35 Lakh
6,2020 MG Hector Sharp DCT,2020,Petrol,"13,515 Kms",1451 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 18.99 Lakh
7,2019 Honda City ZX CVT,2019,Petrol,"20,013 Kms",1497 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.45 Lakh
8,2014 Maruti Alto 800 LXI,2014,Petrol,"23,082 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.94 Lakh
9,2011 Nissan Micra Diesel XV Premium,2011,Diesel,"84,431 Kms",1461 cc,First Owner,Manual,Power Steering,None,Heater,Fog Lights Front,-,-,-,-,-,-,-,-,₹ 2.63 Lakh
10,2018 Hyundai Creta 1.6 SX,2018,Petrol,"46,759 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.25 Lakh
11,2019 Hyundai Verna VTVT 1.6 AT SX Option,2019,Petrol,"4,357 Kms",1591 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 13.44 Lakh
