,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2020 Hyundai Santro Sportz CNG,2020,CNG,"39,418 Kms",1086 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.82 Lakh
1,2017 Maruti Baleno 1.2 Zeta,2017,Petrol,"49,010 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.14 Lakh
2,2019 Hyundai Venue SX Plus Turbo DCT BSIV,2019,Petrol,"23,352 Kms",998 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.03 Lakh
3,2021 Tata Nexon XZ Plus,2021,Petrol,"15,693 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.03 Lakh
4,2017 Mahindra Thar CRDe,2017,Diesel,"46,365 Kms",2498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.72 Lakh
5,2017 Maruti Baleno 1.2 Alpha,2017,Petrol,"88,599 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.85 Lakh
6,2022 Maruti Ciaz Alpha AT,2022,Petrol,"3,925 Kms",1462 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.43 Lakh
7,2017 Maruti Baleno 1.2 Delta,2017,Petrol,"61,628 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.65 Lakh
8,2015 Mahindra XUV500 W6 2WD,2015,Diesel,"1,04,537 Kms",2179 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.23 Lakh
9,2016 Hyundai Verna 1.6 SX VTVT,2016,Petrol,"34,427 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.90 Lakh
10,2017 Honda Jazz 1.2 V AT i VTEC,2017,Petrol,"26,736 Kms",1199 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.90 Lakh
