,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2017 Maruti Alto 800 LXI Optional,2017,Petrol,"25,021 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,-,-,-,-,,₹ 3.13 Lakh
1,2017 Honda City i-VTEC V,2017,Petrol,"62,221 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 7.41 Lakh
2,2018 Toyota Yaris G BSIV,2018,Petrol,"22,014 Kms",1496 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 8.85 Lakh
3,2020 Maruti Celerio ZXI,2020,Petrol,"27,331 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.33 Lakh
4,2021 MG Hector Sharp CVT,2021,Petrol,"29,146 Kms",1451 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 19.50 Lakh
5,2021 Hyundai Santro Sportz,2021,Petrol,"5,306 Kms",1086 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,-,-,-,,₹ 5.98 Lakh
6,2017 Hyundai Grand i10 Sportz,2017,Petrol,"36,107 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 5.28 Lakh
7,2014 Hyundai i20 Sportz 1.4 CRDi,2014,Diesel,"1,19,974 Kms",1396 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 4.31 Lakh
8,2018 Maruti Baleno 1.2 Alpha,2018,Petrol,"53,338 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.99 Lakh
9,2016 Maruti Swift ZXI BSIV,2016,Petrol,"51,792 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.64 Lakh
10,2017 Maruti Wagon R VXI BS IV,2017,Petrol,"55,913 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 4.48 Lakh
