,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2019 Tata Harrier XZ Dark Edition BSIV,2019,Diesel,"37,847 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 15.43 Lakh
1,2015 Renault KWID RXL,2015,Petrol,"32,264 Kms",799 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.43 Lakh
2,2017 Jeep Compass 2.0 Limited 4X4,2017,Diesel,"62,224 Kms",1956 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 13.58 Lakh
3,2018 Hyundai EON Era Plus,2018,Petrol,"52,113 Kms",814 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.76 Lakh
4,2014 Honda Mobilio V i-VTEC,2014,Petrol,"98,008 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.36 Lakh
5,2020 Renault Triber RXZ EASY-R AMT,2020,Petrol,"8,662 Kms",999 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.19 Lakh
6,2018 Hyundai Verna VTVT 1.6 SX,2018,Petrol,"25,626 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.04 Lakh
7,2016 Hyundai Grand i10 Magna,2016,Petrol,"71,568 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.85 Lakh
8,2021 Tata Harrier XZA Plus AT,2021,Diesel,"32,919 Kms",1956 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 21.43 Lakh
9,2019 Honda City i-VTEC V,2019,Petrol,"31,383 Kms",1497 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.13 Lakh
10,2019 Hyundai Creta 1.6 CRDi SX,2019,Diesel,"51,269 Kms",1582 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.38 Lakh
11,2020 Hyundai Verna CRDi 1.6 AT SX Option,2020,Diesel,"43,916 Kms",1582 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.80 Lakh
12,2019 Maruti S-Presso VXI Plus 2019-2022,2019,Petrol,"35,005 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.30 Lakh
13,2018 Renault KWID SUPER SOLDIER 1.0 MT,2018,Petrol,"10,061 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.71 Lakh
14,2015 Hyundai Creta 1.4 CRDi S,2015,Diesel,"71,156 Kms",1396 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.40 Lakh
15,2011 Hyundai i10 Sportz 1.1L,2011,Petrol,"1,11,408 Kms",1086 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 1.80 Lakh
16,2017 Hyundai EON Era Plus,2017,Petrol,"85,416 Kms",814 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.72 Lakh
17,2019 Volvo XC60 D5 Inscription,2019,Diesel,"34,000 Kms",2400 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 54.50 Lakh
18,2021 Mercedes-Benz GLC Coupe 300d 4MATIC,2021,Diesel,"25,000 Kms",1950 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 74.50 Lakh
19,2019 BMW X1 sDrive 20d xLine,2019,Diesel,"24,900 Kms",1995 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 30 Lakh
20,2018 Hyundai Xcent 1.2 VTVT SX,2018,Petrol,"22,718 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.45 Lakh
21,2020 Maruti SX4 S Cross Zeta,2020,Petrol,"55,459 Kms",1462 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.24 Lakh
22,2015 Renault Lodgy 110PS RxL,2015,Diesel,"89,753 Kms",1461 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.48 Lakh
23,2020 Tata Nexon XZ Diesel,2020,Diesel,"40,089 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.58 Lakh
24,2018 Honda WR-V i-VTEC VX,2018,Petrol,"65,772 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.43 Lakh
25,2018 Maruti Baleno 1.2 CVT Alpha,2018,Petrol,"27,172 Kms",1197 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.10 Lakh
