,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2017 Maruti Baleno,Make Year,None,"44,295 Kms",1197 cc,1st Owner,Manual,21.4 kmpl,83.1bhp,115Nm,5,Premium Silver Metallic,,,,,,,,"5,56,000"
1,2018 Hyundai Verna,Make Year,None,"51,956 Kms",1591 cc,1st Owner,Manual,17 kmpl,121.3bhp,151Nm,16,5,,,,,,,,"10,11,000"
2,2015 Hyundai i20,Make Year,None,"68,559 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,White,,,,,,,,"5,21,000"
3,2018 Hyundai Grand i10,Make Year,None,"23,900 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,White,,,,,,,,"5,13,000"
4,2018 Maruti Baleno,Make Year,None,"19,647 Kms",1197 cc,2nd Owner,Automatic,21.4 kmpl,83.1bhp,115Nm,16,5,,,,,,,,"7,16,000"
5,2015 Hyundai Grand i10,Make Year,None,"17,566 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,82bhp,114Nm,14,5,,,,,,,,"4,53,000"
6,2016 Maruti Ciaz,Make Year,None,"43,121 Kms",1373 cc,1st Owner,Manual,20.73 kmpl,91.1bhp,130Nm,15,5,,,,,,,,"6,20,000"
7,2017 Maruti Ignis,Make Year,None,"60,393 Kms",1197 cc,1st Owner,Manual,20.89 kmpl,81.80bhp,113Nm,15,5,,,,,,,,"4,81,000"
8,2017 Hyundai i20,Make Year,None,"37,965 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Red Passion,,,,,,,,"5,65,000"
9,2015 Honda City,Make Year,None,"54,457 Kms",1497 cc,1st Owner,Manual,17.4 kmpl,117.3bhp,145Nm,15,5,,,,,,,,"5,89,000"
10,2016 Maruti Baleno,Make Year,None,"55,955 Kms",1197 cc,1st Owner,Manual,21.4 kmpl,83.1bhp,115Nm,16,5,,,,,,,,"5,74,000"
11,2017 Honda City,Make Year,None,"49,103 Kms",1497 cc,1st Owner,Manual,17.4 kmpl,117.3bhp,145Nm,5,Golden Brown Metallic,,,,,,,,"7,06,000"
12,2017 Maruti SX4 S Cross,Make Year,None,"69,517 Kms",1248 cc,1st Owner,Manual,23.65 kmpl,88.5bhp,200Nm,16,5,,,,,,,,"8,11,000"
13,2016 Skoda Rapid,Make Year,None,"41,079 Kms",1598 cc,1st Owner,Automatic,14.84 kmpl,103.2bhp,153Nm,16,5,,,,,,,,"5,61,000"
14,2018 Maruti Alto 800,-,Diesel,None,None,None,None,None,None,None,-,-,,-,-,-,-,-,-,None
